HOSTNAME,OSS_ID,device,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,avserv,blks/s,avwait,busy,r+w/s,avque
HOSTNAME,OSS_ID,DISK_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,DISK_AVG_SERV,DISK_BLKS,DISK_AVG_WAIT,DISK_BUSY,DISK_RWS,DISK_AVG_QUEUE
eniqs,eniq_oss_1,sda,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.15000000,163.00000000,1.04000000,0.16000000,10.54000000,0.01000000
eniqs,eniq_oss_1,sdb,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,3.71000000,150.00000000,4.13000000,0.11000000,0.29000000,0E-8
eniqs,eniq_oss_1,sdc,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,1.34000000,4658.00000000,1.35000000,1.63000000,12.11000000,0.02000000
eniqs,eniq_oss_1,sde,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,2.26000000,3031.00000000,2.81000000,1.19000000,5.29000000,0.01000000
eniqs,eniq_oss_1,sdf,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdg,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdh,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.49000000,487.00000000,0.56000000,1.73000000,35.43000000,0.02000000
eniqs,eniq_oss_1,sdi,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,sdd,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,2.21000000,3026.00000000,2.93000000,1.15000000,5.20000000,0.02000000
eniqs,eniq_oss_1,vg_root-lv_root,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.10000000,163.00000000,1.15000000,0.16000000,15.79000000,0.02000000
eniqs,eniq_oss_1,vg_root-lv_swap,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-rep_main,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.47000000,79.00000000,0.51000000,0.45000000,9.48000000,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-rep_temp,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.11000000,3.00000000,0.16000000,0E-8,0.26000000,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-dwh_main,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.49000000,382.00000000,0.59000000,1.25000000,25.37000000,0.02000000
eniqs,eniq_oss_1,eniq_stats_pool-dwh_reader,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-dwh_main_dbspace,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-dwh_temp_dbspace,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0.28000000,5.00000000,0.36000000,0.01000000,0.38000000,0E-8
eniqs,eniq_oss_1,eniq_stats_pool-misc,2022-09-18,2022,9,18,1,2022-09-18 01:00:00.0,0,15MIN,13,15,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 00:00:00.0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8
